varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0009183,2025,2025,,11D0404,Freixo de Espada à Cinta,20762,,T,Total,20 762,,,Freixo de Espada à Cinta,Bragança,Município
0009183,2025,2025,,17,Área Metropolitana de Lisboa,20776,,LV,Letónia,20 776,,,Área Metropolitana de Lisboa,,Agregado (NUTS/Continente)
0009183,2025,2025,,170,Área Metropolitana de Lisboa,20776,,LV,Letónia,20 776,,,Área Metropolitana de Lisboa,,Agregado (NUTS/Continente)
0009183,2025,2025,,1701110,Oeiras,20848,,US,Estados Unidos da América,20 848,,,Oeiras,Lisboa,Município
0009183,2025,2025,,16E,Região de Coimbra,20875,,CA,Canadá,20 875,,,Região de Coimbra,,Agregado (NUTS/Continente)
0009183,2025,2025,,11E0405,Macedo de Cavaleiros,20995,,T,Total,20 995,,,Macedo de Cavaleiros,Bragança,Município
0009183,2025,2025,,2004802,Santa Cruz das Flores,20995,,T,Total,20 995,,,Santa Cruz das Flores,Região Autónoma dos Açores,Município
0009183,2025,2025,,16,Centro,21011,,DK,Dinamarca,21 011,,,Centro,,Agregado (NUTS/Continente)
0009183,2025,2025,,1851403,Almeirim,21015,,PT,Portugal,21 015,,,Almeirim,Santarém,Município
0009183,2025,2025,,16E0601,Arganil,21028,,PT,Portugal,21 028,,,Arganil,Coimbra,Município
0009183,2025,2025,,11A0113,Oliveira de Azeméis,21057,,PT,Portugal,21 057,,,Oliveira de Azeméis,Aveiro,Município
0009183,2025,2025,,3003110,São Vicente,21083,,PT,Portugal,21 083,,,São Vicente,Região Autónoma da Madeira,Município
0009183,2025,2025,,16D0102,Albergaria-a-Velha,21095,,T,Total,21 095,,,Albergaria-a-Velha,Aveiro,Município
0009183,2025,2025,,16,Centro,21103,,UA,Ucrânia,21 103,,,Centro,,Agregado (NUTS/Continente)
0009183,2025,2025,,16D0101,Águeda,21125,,E,Estrangeiro,21 125,,,Águeda,Aveiro,Município
0009183,2025,2025,,1190307,Fafe,21165,,PT,Portugal,21 165,,,Fafe,Braga,Município
0009183,2025,2025,,16J0911,Sabugal,21188,,PT,Portugal,21 188,,,Sabugal,Guarda,Município
0009183,2025,2025,,1190311,Vieira do Minho,21266,,E,Estrangeiro,21 266,,,Vieira do Minho,Braga,Município
0009183,2025,2025,,2,Região Autónoma dos Açores,21290,,IL,Israel,21 290,,,Região Autónoma dos Açores,,Agregado (NUTS/Continente)
0009183,2025,2025,,20,Região Autónoma dos Açores,21290,,IL,Israel,21 290,,,Região Autónoma dos Açores,,Agregado (NUTS/Continente)
0009183,2025,2025,,200,Região Autónoma dos Açores,21290,,IL,Israel,21 290,,,Região Autónoma dos Açores,,Agregado (NUTS/Continente)
0009183,2025,2025,,1500815,Vila do Bispo,21291,,NL,Países Baixos (Reino dos),21 291,,,Vila do Bispo,Faro,Município
0009183,2025,2025,,1840206,Castro Verde,21302,,T,Total,21 302,,,Castro Verde,Beja,Município
0009183,2025,2025,,187,Alentejo Central,21314,,ZZ,Outros,21 314,,,Alentejo Central,,Agregado (NUTS/Continente)
0009183,2025,2025,,1840202,Almodôvar,21331,,PT,Portugal,21 331,,,Almodôvar,Beja,Município
0009183,2025,2025,,1120303,Braga,21363,,PL,Polónia,21 363,,,Braga,Braga,Município
0009183,2025,2025,,16J0501,Belmonte,21365,,PT,Portugal,21 365,,,Belmonte,Castelo Branco,Município
0009183,2025,2025,,1851414,Rio Maior,21373,,PT,Portugal,21 373,,,Rio Maior,Santarém,Município
0009183,2025,2025,,1851405,Benavente,21388,,PT,Portugal,21 388,,,Benavente,Santarém,Município
0009183,2025,2025,,16B1012,Óbidos,21400,,GB,Reino Unido da Grã-Bretanha e Irlanda do Norte,21 400,,,Óbidos,Leiria,Município
0009183,2025,2025,,16E0605,Figueira da Foz,21485,,FR,França,21 485,,,Figueira da Foz,Coimbra,Município
0009183,2025,2025,,11E0406,Miranda do Douro,21498,,PT,Portugal,21 498,,,Miranda do Douro,Bragança,Município
0009183,2025,2025,,11A,Área Metropolitana do Porto,21505,,HU,Hungria,21 505,,,Área Metropolitana do Porto,,Agregado (NUTS/Continente)
0009183,2025,2025,,3,Região Autónoma da Madeira,21562,,SI,Eslovénia,21 562,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,30,Região Autónoma da Madeira,21562,,SI,Eslovénia,21 562,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,300,Região Autónoma da Madeira,21562,,SI,Eslovénia,21 562,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,11D1704,Mesão Frio,21570,,PT,Portugal,21 570,,,Mesão Frio,Vila Real,Município
0009183,2025,2025,,16D0105,Aveiro,21618,,FR,França,21 618,,,Aveiro,Aveiro,Município
0009183,2025,2025,,1500805,Faro,21658,,CA,Canadá,21 658,,,Faro,Faro,Município
0009183,2025,2025,,1120303,Braga,21671,,US,Estados Unidos da América,21 671,,,Braga,Braga,Município
0009183,2025,2025,,3003201,Porto Santo,21688,,DE,Alemanha,21 688,,,Porto Santo,Região Autónoma da Madeira,Município
0009183,2025,2025,,16I,Médio Tejo,21727,,DE,Alemanha,21 727,,,Médio Tejo,,Agregado (NUTS/Continente)
0009183,2025,2025,,119,Ave,21754,,ZZ,Outros,21 754,,,Ave,,Agregado (NUTS/Continente)
0009183,2025,2025,,16F1004,Batalha,21803,,E,Estrangeiro,21 803,,,Batalha,Leiria,Município
0009183,2025,2025,,1500801,Albufeira,21893,,RO,Roménia,21 893,,,Albufeira,Faro,Município
0009183,2025,2025,,2004602,Madalena,21906,,DE,Alemanha,21 906,,,Madalena,Região Autónoma dos Açores,Município
0009183,2025,2025,,1870705,Évora,21926,,CA,Canadá,21 926,,,Évora,Évora,Município
0009183,2025,2025,,1190309,Póvoa de Lanhoso,21941,,PT,Portugal,21 941,,,Póvoa de Lanhoso,Braga,Município
0009183,2025,2025,,1811513,Sines,21992,,ES,Espanha,21 992,,,Sines,Setúbal,Município
0009183,2025,2025,,3,Região Autónoma da Madeira,22002,,RU,Federação da Rússia,22 002,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,30,Região Autónoma da Madeira,22002,,RU,Federação da Rússia,22 002,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,300,Região Autónoma da Madeira,22002,,RU,Federação da Rússia,22 002,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
